CS01012021,T_SEC_NL,ZONENUMMER,STGB,NIS_GEM_L
62063C081,LE WERIHET,"3950","3",62063 LIEGE
62063C119,RABOSEE,"3950","3",62063 LIEGE
62063C191,BOIS-SAINT-ETIENNE,"3950","3",62063 LIEGE
62063C30-,SOUVERAIN-WANDRE,"3950","3",62063 LIEGE
62063C32-,BONFOND,"3950","3",62063 LIEGE
62063C33-,LE BOLET,"3950","3",62063 LIEGE
"62063D001",DERRIERE-LA-VILLE,"3951","3",62063 LIEGE
62063D01-,SALLE-PREVERS,"3951","3",62063 LIEGE
62063D02-,CHAPELLE-MOMELETTE,"3951","3",62063 LIEGE
62063D03-,MATHIEU-BODSON,"3951","3",62063 LIEGE
"62063D042",BRASSERIE PIEDBOEUF,"3951","3",62063 LIEGE
62063D05-,DEMOLIN,"3951","3",62063 LIEGE
"62063D091",HOULPAYS,"3951","3",62063 LIEGE
"62063D121",VERGERS,"3951","3",62063 LIEGE
"62063D132",LES PIETRESSES,"3951","3",62063 LIEGE
62063D1AP,MOULIN-SOUS-FLERON,"3951","3",62063 LIEGE
62063D1BN,ECOLE FERRER,"3951","3",62063 LIEGE
"62063D200",FAYEMBOIS,"3951","3",62063 LIEGE
"62063D292",FOND-HOULLEUX,"3951","3",62063 LIEGE
"62063D301",PILZEN,"3951","3",62063 LIEGE
62063D31-,ECOLE DES BRUYERES,"3951","3",62063 LIEGE
"62063D322",CITE RENARD,"3951","3",62063 LIEGE
62063E00-,BRESSOUX-CENTRE,"3951","3",62063 LIEGE
62063E01-,LE QUAI,"3951","3",62063 LIEGE
62063E02-,LA GROTTE,"3951","3",62063 LIEGE
62063E03-,BOULANGERIE,"3951","3",62063 LIEGE
"62063E101",ROBERMONT,"3951","3",62063 LIEGE
"62063E112",PLATEAU,"3951","3",62063 LIEGE
"62063E122",LES SARTS,"3951","3",62063 LIEGE
"62063E191",CIMETIERE ROBERTMONT,"3951","3",62063 LIEGE
62063F00-,GRIVEGNEE-CENTRE,"3952","3",62063 LIEGE
62063F01-,REINE-ASTRID,"3952","3",62063 LIEGE
62063F021,ALBERT 1ER,"3952","3",62063 LIEGE
62063F072,FOURNEAU,"3952","3",62063 LIEGE
62063F101,MUTUALITE,"3952","3",62063 LIEGE
62063F12-,JOSEPH-HODEIGE,"3952","3",62063 LIEGE
62063F132,LEMASUY,"3952","3",62063 LIEGE
62063F143,FASSIN,"3952","3",62063 LIEGE
62063F1AP,MALVAUX,"3952","3",62063 LIEGE
62063F20-,BONNE-FEMME,"3952","3",62063 LIEGE
62063F21-,PEVILLE,"3952","3",62063 LIEGE
62063F301,BELLEFLAMME,"3952","3",62063 LIEGE
62063F31-,BASSINS,"3952","3",62063 LIEGE
62063F322,CESAR-DE-PAEPE,"3952","3",62063 LIEGE
62063F333,HERVE,"3952","3",62063 LIEGE
62063F401,SERVAIS-MALAISE,"3952","3",62063 LIEGE
62063F42-,BODSON,"3952","3",62063 LIEGE
62063F432,BOIS-DE-BREUX,"3952","3",62063 LIEGE
62063F4AN,TROUS-SOURIS,"3952","3",62063 LIEGE
62063F5BP,PASTEUR,"3952","3",62063 LIEGE
62063F60-,CHARTREUSE,"3952","3",62063 LIEGE
62063G001,CHENEE-CENTRE,"3952","3",62063 LIEGE
62063G012,CHENEE-GARE,"3952","3",62063 LIEGE
62063G023,CHENEE-LARGRE,"3952","3",62063 LIEGE
62063G04-,PIED-DES-THIERS,"3952","3",62063 LIEGE
62063G09-,PIEDSROUX,"3952","3",62063 LIEGE
62063G111,LES VIEILLES-TERRES,"3952","3",62063 LIEGE
62063G120,BEAUFRAIPONT,"3952","3",62063 LIEGE
62063G13-,OURTHE,"3952","3",62063 LIEGE
62063G143,CRITELIONS,"3952","3",62063 LIEGE
62063G172,LHONEUX,"3952","3",62063 LIEGE
62063G20-,LES FOSSETTES,"3952","3",62063 LIEGE
62063G21-,THIERS-DE-CHENEE,"3952","3",62063 LIEGE
62063G29-,SART-MORAY,"3952","3",62063 LIEGE
62063H00-,ANGLEUR-CENTRE,"3953","3",62063 LIEGE
62063H01-,SAINT-PAUL-DE-SINCAY,"3953","3",62063 LIEGE
62063H021,LEMONNIER,"3953","3",62063 LIEGE
62063H032,VERDURE,"3953","3",62063 LIEGE
62063H043,VERHAEREN,"3953","3",62063 LIEGE
62063H11-,STREUPAS,"3943","3",62022 CHAUDFONTAINE
62063H20-,SART-TILMAN,"3953","3",62063 LIEGE
62063H202,RODGE-CINSE,"3953","3",62063 LIEGE
62063H212,BELLE-JARDINIERE,"3953","3",62063 LIEGE
62063H223,SART-LOHAY,"3953","3",62063 LIEGE
62063H28-,COLONSTER,"3953","3",62063 LIEGE
62063H2MB,BOIS DU SART TILMAN,"3953","3",62063 LIEGE
62063H2PB,SAINT LAURENT - SAINT JACQUES,"3953","3",62063 LIEGE
62063H301,KINKEMPOIS,"3953","3",62063 LIEGE
62063H312,RIVAGE-EN-POT,"3953","3",62063 LIEGE
