Origin,Destination,Date range: 2021-01-25 - 2021-01-31 Time range: 00:00 - 00:00
Region 20,Region 31,6
Region 20,Region 32,6
Region 20,Region 33,20
Region 20,Region 34,18
Region 20,Region 35,908
Region 20,Region 36,11
Region 20,Region 37,40
Region 20,Region 38,23
Region 20,Region 39,35
Region 20,Region 40,96
Region 20,Region 41,5
Region 20,Region 42,123
Region 20,Region 43,54
Region 20,Region 44,104
Region 21,Region 1,2
Region 21,Region 2,6
Region 21,Region 3,7
Region 21,Region 4,5
Region 21,Region 5,11
Region 21,Region 6,0
Region 21,Region 7,2
Region 21,Region 8,3
Region 21,Region 9,37
Region 21,Region 10,0
Region 21,Region 11,0
Region 21,Region 12,5
Region 21,Region 13,9
Region 21,Region 14,17
Region 21,Region 15,6
Region 21,Region 16,8
Region 21,Region 17,133
Region 21,Region 18,26
Region 21,Region 19,169
Region 21,Region 20,121
Region 21,Region 21,167
Region 21,Region 22,52
Region 21,Region 23,579
Region 21,Region 24,34
Region 21,Region 25,81
Region 21,Region 26,97
Region 21,Region 27,13
Region 21,Region 28,5
Region 21,Region 29,6
Region 21,Region 30,7
Region 21,Region 31,4
Region 21,Region 32,4
Region 21,Region 33,1
Region 21,Region 34,10
Region 21,Region 35,116
Region 21,Region 36,3
Region 21,Region 37,13
Region 21,Region 38,8
Region 21,Region 39,9
Region 21,Region 40,22
Region 21,Region 41,1
Region 21,Region 42,46
Region 21,Region 43,15
Region 21,Region 44,13
Region 22,Region 1,2
Region 22,Region 2,9
Region 22,Region 3,3
Region 22,Region 4,4
Region 22,Region 5,6
Region 22,Region 6,0
Region 22,Region 7,0
Region 22,Region 8,1
Region 22,Region 9,28
Region 22,Region 10,3
Region 22,Region 11,2
Region 22,Region 12,26
Region 22,Region 13,19
Region 22,Region 14,17
Region 22,Region 15,3
Region 22,Region 16,3
Region 22,Region 17,104
Region 22,Region 18,14
Region 22,Region 19,67
Region 22,Region 20,30
Region 22,Region 21,58
Region 22,Region 22,116
Region 22,Region 23,252
Region 22,Region 24,102
Region 22,Region 25,20
Region 22,Region 26,16
Region 22,Region 27,20
Region 22,Region 28,21
Region 22,Region 29,14
Region 22,Region 30,4
Region 22,Region 31,1
Region 22,Region 32,6
Region 22,Region 33,0
Region 22,Region 34,7
Region 22,Region 35,197
Region 22,Region 36,4
